date,askopen,askclose,askhigh,asklow
2021-05-02 21:00:00,2761.6,2977.35,2978.95,2974.15
2021-05-02 21:05:00,2977.35,2973.65,2978.75,2973.45
2021-05-02 21:10:00,2973.65,2972.75,2973.75,2969.55
2021-05-02 21:15:00,2972.75,2971.35,2972.85,2969.45
2021-05-02 21:20:00,2971.35,2976.65,2977.75,2970.75
2021-05-02 21:25:00,2976.65,2977.45,2978.25,2973.75
2021-05-02 21:30:00,2977.45,2982.15,2982.15,2977.45
2021-05-02 21:35:00,2982.15,2982.35,2986.05,2980.75
2021-05-02 21:40:00,2982.35,2984.35,2986.45,2982.25
2021-05-02 21:45:00,2984.35,2982.55,2988.15,2982.25
2021-05-02 21:50:00,2982.55,2979.55,2984.65,2977.15
2021-05-02 21:55:00,2979.55,2976.15,2980.75,2974.05
2021-05-02 22:00:00,2976.15,2980.55,2982.25,2975.55
2021-05-02 22:05:00,2980.55,2979.45,2984.55,2977.75
2021-05-02 22:10:00,2979.45,2976.45,2982.95,2975.95
2021-05-02 22:15:00,2976.45,2967.55,2976.65,2960.05
2021-05-02 22:20:00,2967.55,2964.35,2967.75,2957.25
2021-05-02 22:25:00,2964.35,2961.25,2965.65,2959.95
2021-05-02 22:30:00,2961.25,2944.45,2962.25,2939.25
2021-05-02 22:35:00,2944.45,2943.55,2951.85,2942.0
2021-05-02 22:40:00,2943.55,2935.7,2948.75,2930.75
2021-05-02 22:45:00,2935.7,2945.95,2945.95,2936.45
2021-05-02 22:50:00,2945.95,2949.15,2951.15,2944.65
2021-05-02 22:55:00,2949.15,2951.95,2953.95,2948.45
2021-05-02 23:00:00,2951.95,2951.35,2953.45,2942.85
2021-05-02 23:05:00,2951.35,2952.95,2953.95,2950.95
2021-05-02 23:10:00,2952.95,2955.85,2958.85,2951.85
2021-05-02 23:15:00,2955.85,2952.85,2956.35,2952.35
2021-05-02 23:20:00,2952.85,2955.25,2955.75,2950.45
2021-05-02 23:25:00,2955.25,2956.15,2956.55,2951.75
2021-05-02 23:30:00,2956.15,2950.65,2956.15,2939.95
2021-05-02 23:35:00,2950.65,2952.45,2956.25,2949.65
2021-05-02 23:40:00,2952.45,2954.95,2956.85,2951.55
2021-05-02 23:45:00,2954.95,2957.65,2957.85,2954.15
2021-05-02 23:50:00,2957.65,2955.85,2958.15,2954.95
2021-05-02 23:55:00,2955.85,2953.05,2956.65,2952.75
2021-05-03 00:00:00,2953.05,2959.0,2960.35,2953.15
2021-05-03 00:05:00,2959.0,2980.05,2982.15,2959.0
2021-05-03 00:10:00,2980.05,2979.05,2981.85,2974.15
2021-05-03 00:15:00,2979.05,2992.95,2994.15,2979.45
2021-05-03 00:20:00,2992.95,2990.25,2992.95,2986.25
2021-05-03 00:25:00,2990.25,2992.25,2995.15,2987.35
2021-05-03 00:30:00,2992.25,2989.85,2993.95,2987.65
2021-05-03 00:35:00,2989.85,2985.55,2990.05,2981.85
2021-05-03 00:40:00,2985.55,2990.05,2993.65,2985.15
2021-05-03 00:45:00,2990.05,2991.15,2995.15,2988.95
2021-05-03 00:50:00,2991.15,2995.75,2996.15,2990.75
2021-05-03 00:55:00,2995.75,2996.05,2997.15,2993.55
2021-05-03 01:00:00,2996.05,2994.85,2998.05,2992.15
2021-05-03 01:05:00,2994.85,2997.95,2998.75,2993.95
2021-05-03 01:10:00,2997.95,2993.05,2998.75,2993.05
2021-05-03 01:15:00,2993.05,2996.55,2996.55,2993.05
2021-05-03 01:20:00,2996.55,2996.95,2997.65,2993.95
2021-05-03 01:25:00,2996.95,2997.05,3000.05,2996.25
2021-05-03 01:30:00,2997.05,3000.25,3000.65,2996.85
2021-05-03 01:35:00,3000.25,3021.25,3021.75,2998.65
2021-05-03 01:40:00,3021.25,3025.85,3032.25,3020.05
2021-05-03 01:45:00,3025.85,3024.75,3027.75,3017.25
2021-05-03 01:50:00,3024.75,3019.55,3024.75,3015.45
2021-05-03 01:55:00,3019.55,3028.95,3029.65,3019.35
2021-05-03 02:00:00,3028.95,3021.45,3029.35,3019.75
2021-05-03 02:05:00,3021.45,3015.75,3023.55,3012.85
2021-05-03 02:10:00,3015.75,3015.45,3022.55,3014.55
2021-05-03 02:15:00,3015.45,3020.85,3023.05,3015.25
2021-05-03 02:20:00,3020.85,3022.85,3027.55,3020.35
2021-05-03 02:25:00,3022.85,3026.85,3029.35,3022.85
2021-05-03 02:30:00,3026.85,3024.55,3028.45,3022.55
2021-05-03 02:35:00,3024.55,3026.35,3029.35,3024.55
2021-05-03 02:40:00,3026.35,3027.75,3029.55,3025.65
2021-05-03 02:45:00,3027.75,3035.05,3036.35,3027.95
2021-05-03 02:50:00,3035.05,3032.95,3039.35,3032.85
2021-05-03 02:55:00,3032.95,3033.4,3036.2,3032.25
2021-05-03 03:00:00,3033.4,3026.65,3035.65,3026.1
2021-05-03 03:05:00,3026.65,3032.85,3033.15,3024.2
2021-05-03 03:10:00,3032.85,3038.05,3039.25,3032.85
2021-05-03 03:15:00,3038.05,3053.55,3054.05,3036.3
2021-05-03 03:20:00,3053.55,3047.15,3054.85,3046.55
2021-05-03 03:25:00,3047.15,3047.65,3050.75,3045.05
2021-05-03 03:30:00,3047.65,3052.05,3054.35,3047.35
2021-05-03 03:35:00,3052.05,3056.55,3060.05,3051.85
2021-05-03 03:40:00,3056.55,3055.65,3060.95,3054.75
2021-05-03 03:45:00,3055.65,3052.05,3059.35,3051.95
2021-05-03 03:50:00,3052.05,3049.45,3054.85,3047.35
2021-05-03 03:55:00,3049.45,3057.15,3057.15,3048.35
2021-05-03 04:00:00,3057.15,3060.55,3061.05,3055.75
2021-05-03 04:05:00,3060.55,3054.35,3061.15,3053.35
2021-05-03 04:10:00,3054.35,3058.55,3058.95,3052.65
2021-05-03 04:15:00,3058.55,3060.45,3061.05,3053.85
2021-05-03 04:20:00,3060.45,3060.45,3061.75,3055.85
2021-05-03 04:25:00,3060.45,3053.65,3061.65,3053.65
2021-05-03 04:30:00,3053.65,3055.45,3058.55,3053.45
2021-05-03 04:35:00,3055.45,3044.95,3056.25,3042.35
2021-05-03 04:40:00,3044.95,3038.95,3049.05,3038.95
2021-05-03 04:45:00,3038.95,3047.25,3047.65,3038.75
2021-05-03 04:50:00,3047.25,3055.55,3057.55,3047.05
2021-05-03 04:55:00,3055.55,3054.95,3056.55,3049.55
2021-05-03 05:00:00,3054.95,3053.75,3055.05,3052.05
2021-05-03 05:05:00,3053.75,3071.35,3075.05,3053.65
2021-05-03 05:10:00,3071.35,3073.05,3074.65,3069.35
2021-05-03 05:15:00,3073.05,3074.75,3076.55,3065.75
2021-05-03 05:20:00,3074.75,3082.45,3084.75,3073.75
2021-05-03 05:25:00,3082.45,3083.25,3083.55,3079.15
2021-05-03 05:30:00,3083.25,3088.65,3088.95,3079.15
2021-05-03 05:35:00,3088.65,3097.95,3099.15,3086.05
2021-05-03 05:40:00,3097.95,3098.25,3100.15,3092.55
2021-05-03 05:45:00,3098.25,3095.65,3098.05,3092.75
2021-05-03 05:50:00,3095.65,3106.25,3111.25,3096.05
2021-05-03 05:55:00,3106.25,3103.35,3107.95,3098.25
2021-05-03 06:00:00,3103.35,3097.15,3106.25,3095.65
2021-05-03 06:05:00,3097.15,3100.95,3103.25,3093.85
2021-05-03 06:10:00,3100.95,3097.55,3102.15,3095.15
2021-05-03 06:15:00,3097.55,3094.55,3097.25,3087.05
2021-05-03 06:20:00,3094.55,3099.35,3099.55,3094.15
2021-05-03 06:25:00,3099.35,3088.55,3099.75,3088.55
2021-05-03 06:30:00,3088.55,3092.95,3094.45,3088.15
2021-05-03 06:35:00,3092.95,3089.55,3092.65,3083.85
2021-05-03 06:40:00,3089.55,3093.85,3093.85,3089.05
2021-05-03 06:45:00,3093.85,3092.15,3094.75,3090.35
2021-05-03 06:50:00,3092.15,3089.45,3093.25,3088.85
2021-05-03 06:55:00,3089.45,3090.55,3091.45,3086.65
2021-05-03 07:00:00,3090.55,3088.35,3090.55,3085.15
2021-05-03 07:05:00,3088.35,3089.25,3089.45,3084.35
2021-05-03 07:10:00,3089.25,3097.15,3099.05,3089.25
2021-05-03 07:15:00,3097.15,3103.05,3104.65,3097.15
2021-05-03 07:20:00,3103.05,3132.25,3133.05,3102.55
2021-05-03 07:25:00,3132.25,3138.85,3145.05,3123.75
2021-05-03 07:30:00,3138.85,3137.55,3143.55,3131.05
2021-05-03 07:35:00,3137.55,3149.95,3149.95,3133.35
2021-05-03 07:40:00,3149.95,3144.75,3150.45,3142.55
2021-05-03 07:45:00,3144.75,3142.25,3146.55,3135.85
2021-05-03 07:50:00,3142.25,3143.75,3148.55,3142.75
2021-05-03 07:55:00,3143.75,3149.45,3149.45,3137.25
2021-05-03 08:00:00,3149.45,3138.35,3155.45,3137.35
2021-05-03 08:05:00,3138.35,3145.65,3146.95,3138.35
2021-05-03 08:10:00,3145.65,3146.35,3146.35,3139.85
2021-05-03 08:15:00,3146.35,3171.25,3171.25,3146.35
2021-05-03 08:20:00,3171.25,3178.65,3183.55,3170.65
2021-05-03 08:25:00,3178.65,3185.85,3186.65,3178.15
2021-05-03 08:30:00,3185.85,3181.55,3186.35,3173.85
2021-05-03 08:35:00,3181.55,3198.95,3202.35,3181.65
2021-05-03 08:40:00,3198.95,3193.05,3205.15,3185.95
2021-05-03 08:45:00,3193.05,3191.55,3193.75,3179.85
2021-05-03 08:50:00,3191.55,3192.55,3201.55,3188.15
2021-05-03 08:55:00,3192.55,3188.75,3193.55,3187.45
2021-05-03 09:00:00,3188.75,3167.75,3194.05,3162.15
