date,askopen,askclose,askhigh,asklow
2021-05-02 21:05:00,0.5543,0.5524,0.5552,0.5523
2021-05-02 21:10:00,0.5524,0.5573,0.5577,0.5524
2021-05-02 21:15:00,0.5573,0.5562,0.5578,0.5547
2021-05-02 21:20:00,0.5562,0.559,0.5592,0.5561
2021-05-02 21:25:00,0.559,0.5531,0.5595,0.553
2021-05-02 21:30:00,0.5531,0.5543,0.5568,0.5529
2021-05-02 21:35:00,0.5543,0.557,0.5574,0.5541
2021-05-02 21:40:00,0.557,0.5586,0.5595,0.556
2021-05-02 21:45:00,0.5586,0.5595,0.5596,0.5583
2021-05-02 21:50:00,0.5595,0.56,0.5601,0.5589
2021-05-02 21:55:00,0.56,0.5561,0.5601,0.5556
2021-05-02 22:00:00,0.5561,0.5585,0.5589,0.5561
2021-05-02 22:05:00,0.5585,0.5567,0.5587,0.5565
2021-05-02 22:10:00,0.5567,0.5524,0.5566,0.5522
2021-05-02 22:15:00,0.5524,0.547,0.5527,0.5441
2021-05-02 22:20:00,0.547,0.5457,0.548,0.5415
2021-05-02 22:25:00,0.5457,0.5438,0.5458,0.5434
2021-05-02 22:30:00,0.5438,0.5411,0.5441,0.5379
2021-05-02 22:35:00,0.5411,0.5411,0.5433,0.5406
2021-05-02 22:40:00,0.5411,0.5396,0.5426,0.5394
2021-05-02 22:45:00,0.5396,0.5414,0.5425,0.5397
2021-05-02 22:50:00,0.5414,0.5425,0.5432,0.5411
2021-05-02 22:55:00,0.5425,0.544,0.5448,0.5423
2021-05-02 23:00:00,0.544,0.5453,0.5466,0.5436
2021-05-02 23:05:00,0.5453,0.5494,0.5501,0.5453
2021-05-02 23:10:00,0.5494,0.5494,0.55,0.5482
2021-05-02 23:15:00,0.5494,0.547,0.5493,0.5466
2021-05-02 23:20:00,0.547,0.5494,0.55,0.547
2021-05-02 23:25:00,0.5494,0.5525,0.5525,0.5494
2021-05-02 23:30:00,0.5525,0.5522,0.5526,0.5512
2021-05-02 23:35:00,0.5522,0.5543,0.5547,0.5523
2021-05-02 23:40:00,0.5543,0.5545,0.5564,0.5542
2021-05-02 23:45:00,0.5545,0.5581,0.5583,0.5543
2021-05-02 23:50:00,0.5581,0.5601,0.5602,0.5577
2021-05-02 23:55:00,0.5601,0.5561,0.5608,0.5554
2021-05-03 00:00:00,0.5561,0.5581,0.5601,0.5562
2021-05-03 00:05:00,0.5581,0.5621,0.5628,0.5576
2021-05-03 00:10:00,0.5621,0.5634,0.5642,0.5609
